"","Population","Spawner 
 Abundance SD","Posterior 
 Mean","Lower 50%","Upper 50%","Lower 80%","Upper 80%"
"1","Aniak",8252.2,-83.3,-112.08,-54.51,-174.09,-52.44
"2","Carmacks",4103.53,-50.03,-73.98,-26.08,-124.07,-20.86
"3","Chena",3504.23,-41.13,-63.12,-19.13,-109.26,-12.91
"4","EFAndreafsky",1863.16,-24.02,-37.96,-10.08,-74.66,-1.89
"5","George",1873.27,-24.15,-38.16,-10.13,-75.07,-1.9
"6","Gisasa",818.46,-10.87,-17.27,-4.47,-37.57,-2.73
"7","Goodnews",999.41,-13.53,-21.16,-5.91,-44.9,-4.12
"8","Holitna",6426.03,-70.04,-99.73,-40.36,-160.83,-34.45
"9","Holokuk",989.48,-13.4,-20.95,-5.85,-44.45,-4.08
"10","Kisaralik",5077.65,-54.56,-81.05,-28.06,-138.83,-27.23
"11","Kogrukluk",4999.79,-53.55,-79.81,-27.29,-136.61,-25.5
"12","Kwethluk",9579.14,-91.07,-118.87,-63.27,-173.95,-56.6
"13","LwrMain",3706,-44.81,-67.72,-21.9,-114.88,-16.22
"14","MidMain",7549.37,-73.91,-103.22,-44.61,-163.17,-40.83
"15","Oskawalik",1207.32,-15.53,-24.59,-6.47,-48.78,-1.23
"16","Pelly",2274.63,-31.14,-47.99,-14.29,-88.02,-2.31
"17","Pitka",2238.1,-30.64,-47.22,-14.06,-86.61,-2.27
"18","Salcha",3910.39,-48.95,-72.35,-25.56,-121.22,-20.72
"19","Stewart",1748.59,-22.54,-35.62,-9.46,-70.07,-1.78
"20","Swift",1806.85,-23.29,-36.81,-9.77,-72.41,-1.84
"21","Takotna",295.04,-3.91,-6.25,-1.56,-13.8,-0.94
"22","Tatlawiksuk",737.32,-9.73,-15.55,-3.91,-34.49,-2.52
"23","Teslin",2403.45,-33.18,-50.7,-15.66,-93.26,-6.71
"24","Tuluksak",1028.57,-13.89,-21.7,-6.08,-44.82,-3.28
"25","UprLksMain",2780.62,-34.17,-53.61,-14.73,-99.55,-8.6
"26","White-Donjek",1613.34,-20.76,-32.87,-8.65,-68.18,-4.99
