"","Size","Year","Region","size_stand"
"1",-0.798629946039481,1980,"Yukon",-1.68751855677204
"2",-0.114408414099013,1981,"Yukon",-0.238268303867341
"3",-0.382215634047797,1982,"Yukon",-0.805511021499687
"4",0.306542248507675,1983,"Yukon",0.653347679793666
"5",0.0738033547036085,1984,"Yukon",0.160383215857956
"6",0.23586225715679,1985,"Yukon",0.503640325437147
"7",0.10372833747957,1986,"Yukon",0.223767349258781
"8",1.00524350850782,1987,"Yukon",2.13326745795133
"9",0.578483173628399,1988,"Yukon",1.22934600213327
"10",0.978733858178193,1989,"Yukon",2.07711734333032
"11",0.283859436426615,1990,"Yukon",0.605303194768709
"12",0.243380520551364,1991,"Yukon",0.519564766012831
"13",-0.503258844103901,1992,"Yukon",-1.06189275548094
"14",-0.389771886950882,1993,"Yukon",-0.821515927688113
"15",0.419033853555999,1994,"Yukon",0.891616251382732
"16",0.783962714974544,1995,"Yukon",1.664572406684
"17",0.393311225438334,1996,"Yukon",0.837133129229039
"18",0.104339839121621,1997,"Yukon",0.225062571446368
"19",-0.254611170557377,1998,"Yukon",-0.535231890615293
"20",0.166543754130545,1999,"Yukon",0.356816740746888
"21",-0.403654482815889,2000,"Yukon",-0.850920666693149
"22",0.0901400133553583,2001,"Yukon",0.194985907497199
"23",-0.313550775707188,2002,"Yukon",-0.660071922216195
"24",0.418377574019527,2003,"Yukon",0.890226185095998
"25",0.55060059424698,2004,"Yukon",1.17028788523134
"26",0.166187194214584,2005,"Yukon",0.356061510862617
"27",0.010324223806521,2006,"Yukon",0.0259280106178231
"28",-0.692250276308949,2007,"Yukon",-1.46219568097235
"29",-0.0589080506019337,2008,"Yukon",-0.120712933158191
"30",0.031157576307994,2009,"Yukon",0.0700551536148946
"31",-0.50637242548005,2010,"Yukon",-1.06848763504286
"32",-0.453765921084272,2011,"Yukon",-0.957061749944225
"33",-0.0558696277101765,2012,"Yukon",-0.11427724685083
"34",-0.323114983364902,2013,"Yukon",-0.680329879207793
"35",-0.491276853052293,2014,"Yukon",-1.03651368927032
"36",-0.258944525230549,2015,"Yukon",-0.544410373113804
"37",-1.01393805272405,2016,"Yukon",-2.14356285455978
"38",2.13991687589775,1980,"Kuskokwim",1.72855273791902
"39",2.21158216827829,1981,"Kuskokwim",1.8071152081044
"40",2.08293617339037,1982,"Kuskokwim",1.66608812508933
"41",1.92477949103087,1983,"Kuskokwim",1.49271020071685
"42",1.66908943151641,1984,"Kuskokwim",1.21241213717676
"43",1.99399194180945,1985,"Kuskokwim",1.56858376405733
"44",1.59153223136168,1986,"Kuskokwim",1.12739071296402
"45",1.29393880051401,1987,"Kuskokwim",0.801156433276907
"46",1.35780904847482,1988,"Kuskokwim",0.87117365199568
"47",1.01917810309074,1989,"Kuskokwim",0.4999523443463
"48",0.565323607870899,1990,"Kuskokwim",0.00241819546050322
"49",0.7475184021365,1991,"Kuskokwim",0.20214769654752
"50",0.871670930327899,1992,"Kuskokwim",0.338248854729961
"51",0.863134865707653,1993,"Kuskokwim",0.328891266140669
"52",0.891792887464257,1994,"Kuskokwim",0.360307379925145
"53",0.884664236952632,1995,"Kuskokwim",0.352492657139844
"54",0.734286912651287,1996,"Kuskokwim",0.187642788192855
"55",-0.0546902883586271,1997,"Kuskokwim",-0.677266790381712
"56",-0.402165705751626,1998,"Kuskokwim",-1.05818377560981
"57",0.466254777406474,1999,"Kuskokwim",-0.106185171401277
"58",0.439228819035463,2000,"Kuskokwim",-0.13581214951335
"59",0.445629602903315,2001,"Kuskokwim",-0.128795344375502
"60",0.275376509423833,2002,"Kuskokwim",-0.315433857052252
"61",0.792191424641545,2003,"Kuskokwim",0.251120119348879
"62",0.131991015083474,2004,"Kuskokwim",-0.472618991584508
"63",0.154367455117476,2005,"Kuskokwim",-0.448089008595094
"64",-0.142070240165534,2006,"Kuskokwim",-0.773056322951777
"65",-1.00942411526837,2007,"Kuskokwim",-1.72388566710767
"66",-0.294544240657408,2008,"Kuskokwim",-0.940204655426023
"67",0.200916772681515,2009,"Kuskokwim",-0.397059713216582
"68",-0.792779151325721,2010,"Kuskokwim",-1.48639045910408
"69",-0.822722094691703,2011,"Kuskokwim",-1.51921515732705
"70",-0.216921022192812,2012,"Kuskokwim",-0.855110859199874
"71",0.223544543524593,2013,"Kuskokwim",-0.372254210955026
"72",0.3743502758982,2014,"Kuskokwim",-0.206934703284934
"73",-0.985486980696383,2015,"Kuskokwim",-1.69764478594097
"74",-0.790838147514013,2016,"Kuskokwim",-1.48426265010447
