SiteID,years_lst,Latitude,Longitude
OSM_Aniak,"2008, 2009, 2010, 2011",61.50272,-159.37423
OSM_Anvik,"2009, 2010, 2011, 2012, 2013, 2018, 2019",62.80346,-160.67873
OSM_Chandalar,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",66.700167,-146.04383
OSM_Chena,"2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",64.79425,-147.15141
OSM_EF_Andreafsky,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017",62.116444,-162.80672
OSM_George,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019",61.925,-157.70167
OSM_Gisasa,"2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",65.253317,-157.713917
OSM_Henshaw,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",66.55633,-152.20997
OSM_Kogrukluk,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018",60.841111,-157.845556
OSM_Kwethluk,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",60.51828,-161.09245
OSM_Salcha,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",64.47726,-146.78262
OSM_Salmon,"2008, 2013, 2014, 2015, 2016",61.062777,-159.194444
OSM_Salmon_Pitka_Fork,"2015, 2016, 2017, 2018, 2019",62.88889,-154.51944
OSM_Sheenjek,"2009, 2010, 2011, 2012",66.78367,-144.46367
OSM_Takotna,"2008, 2009, 2010, 2011, 2012, 2013",62.98861,-156.06417
OSM_Tatlawiksuk,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019",61.93485,-156.18997
OSM_Tuluksak,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",61.04402,-160.55415
OSM_Unalakleet,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",63.872307,-160.674408
Togiak_MFLR,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016",59.159287,-161.389563
